#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 45406C0F  20   5   u    0       0         20              1      HE   -27    15      4
 45304410  20   5   u    0       0         20              2      HE   -17    16      3
 45504810  20   5   u    0       0         20              3      HE   -18    16      5
 45104810  20   5   u    0       0         20              4      HE   -18    16      1
 45404810  20   5   u    0       0         20              5      HE   -18    16      4
 4510480F  20   5   u    0       0         21              0      HE   -18    15      1
 4540480F  20   5   u    0       0         21              1      HE   -18    15      4
 4550480F  20   5   u    0       0         21              2      HE   -18    15      5
 4530440F  20   5   u    0       0         21              3      HE   -17    15      3
 4540700F  20   5   u    0       0         21              4      HE   -28    15      4
 4530480F  20   5   u    0       0         21              5      HE   -18    15      3
 4570700F  20   5   u    0       0         22              0      HE   -28    15      7
 4530700F  20   5   u    0       0         22              1      HE   -28    15      3
 4550700F  20   5   u    0       0         22              2      HE   -28    15      5
 4560700F  20   5   u    0       0         22              3      HE   -28    15      6
 4570680F  20   5   u    0       0         22              4      HE   -26    15      7
 4520700F  20   5   u    0       0         22              5      HE   -28    15      2
 4510740F  20   5   u    0       0         23              0      HE   -29    15      1
 4510700F  20   5   u    0       0         23              1      HE   -28    15      1
 4520480F  20   5   u    0       0         23              2      HE   -18    15      2
 4520440F  20   5   u    0       0         23              3      HE   -17    15      2
 4540400F  20   5   u    0       0         23              4      HE   -16    15      4
 4520740F  20   5   u    0       0         23              5      HE   -29    15      2
 45204C12  20   6   u    0       0          1              0      HE   -19    18      2
 45305012  20   6   u    0       0          1              1      HE   -20    18      3
 45305811  20   6   u    0       0          1              2      HE   -22    17      3
 45306011  20   6   u    0       0          1              3      HE   -24    17      3
 45206011  20   6   u    0       0          1              4      HE   -24    17      2
 45206811  20   6   u    0       0          1              5      HE   -26    17      2
 45606011  20   6   u    0       0          2              0      HE   -24    17      6
 45506011  20   6   u    0       0          2              1      HE   -24    17      5
 45506811  20   6   u    0       0          2              2      HE   -26    17      5
 45606811  20   6   u    0       0          2              3      HE   -26    17      6
 45304C12  20   6   u    0       0          2              4      HE   -19    18      3
 45306811  20   6   u    0       0          2              5      HE   -26    17      3
 45504C12  20   6   u    0       0          3              0      HE   -19    18      5
 45406811  20   6   u    0       0          3              1      HE   -26    17      4
 45605012  20   6   u    0       0          3              2      HE   -20    18      6
 45505012  20   6   u    0       0          3              3      HE   -20    18      5
 45505811  20   6   u    0       0          3              4      HE   -22    17      5
 45605811  20   6   u    0       0          3              5      HE   -22    17      6
 45104C12  20   6   u    0       0          4              0      HE   -19    18      1
 45105012  20   6   u    0       0          4              1      HE   -20    18      1
 45105811  20   6   u    0       0          4              2      HE   -22    17      1
 45106011  20   6   u    0       0          4              3      HE   -24    17      1
 45404C12  20   6   u    0       0          4              4      HE   -19    18      4
 45106811  20   6   u    0       0          4              5      HE   -26    17      1
 45604C12  20   6   u    0       0          5              0      HE   -19    18      6
 45406011  20   6   u    0       0          5              1      HE   -24    17      4
 45205811  20   6   u    0       0          5              2      HE   -22    17      2
 45205012  20   6   u    0       0          5              3      HE   -20    18      2
 45405811  20   6   u    0       0          5              4      HE   -22    17      4
 45405012  20   6   u    0       0          5              5      HE   -20    18      4
 45504C11  20   6   u    0       0          6              0      HE   -19    17      5
 45604C11  20   6   u    0       0          6              1      HE   -19    17      6
 45205411  20   6   u    0       0          6              2      HE   -21    17      2
 45205011  20   6   u    0       0          6              3      HE   -20    17      2
 45405411  20   6   u    0       0          6              4      HE   -21    17      4
 45405011  20   6   u    0       0          6              5      HE   -20    17      4
 45104C11  20   6   u    0       0          7              0      HE   -19    17      1
 45105011  20   6   u    0       0          7              1      HE   -20    17      1
 45105411  20   6   u    0       0          7              2      HE   -21    17      1
 45105C11  20   6   u    0       0          7              3      HE   -23    17      1
 45404C11  20   6   u    0       0          7              4      HE   -19    17      4
 45106411  20   6   u    0       0          7              5      HE   -25    17      1
 45605C11  20   6   u    0       0          8              0      HE   -23    17      6
 45406411  20   6   u    0       0          8              1      HE   -25    17      4
 45505011  20   6   u    0       0          8              2      HE   -20    17      5
 45605411  20   6   u    0       0          8              3      HE   -21    17      6
 45405C11  20   6   u    0       0          8              4      HE   -23    17      4
 45605011  20   6   u    0       0          8              5      HE   -20    17      6
 45505411  20   6   u    0       0          9              0      HE   -21    17      5
 45505C11  20   6   u    0       0          9              1      HE   -23    17      5
 45606411  20   6   u    0       0          9              2      HE   -25    17      6
 45506411  20   6   u    0       0          9              3      HE   -25    17      5
 45304C11  20   6   u    0       0          9              4      HE   -19    17      3
 45306411  20   6   u    0       0          9              5      HE   -25    17      3
 45204C11  20   6   u    0       0         10              0      HE   -19    17      2
 45305011  20   6   u    0       0         10              1      HE   -20    17      3
 45305411  20   6   u    0       0         10              2      HE   -21    17      3
 45305C11  20   6   u    0       0         10              3      HE   -23    17      3
 45205C11  20   6   u    0       0         10              4      HE   -23    17      2
 45206411  20   6   u    0       0         10              5      HE   -25    17      2
 4E2288F0  20   6   u    0       0         11              0 CALIB_HE    -1    15      0
 4E2288F1  20   6   u    0       0         11              1 CALIB_HE    -1    15      1
 4E2288F2  20   6   u    0       0         11              2 CALIB_HE    -1    15      2
 4E2288F3  20   6   u    0       0         11              3 CALIB_HE    -1    15      3
 4E2288F4  20   6   u    0       0         11              4 CALIB_HE    -1    15      4
 4E2288F5  20   6   u    0       0         11              5 CALIB_HE    -1    15      5
 45204C10  20   6   u    0       0         13              0      HE   -19    16      2
 45305010  20   6   u    0       0         13              1      HE   -20    16      3
 4530540F  20   6   u    0       0         13              2      HE   -21    15      3
 45305C0F  20   6   u    0       0         13              3      HE   -23    15      3
 45205C0F  20   6   u    0       0         13              4      HE   -23    15      2
 4520640F  20   6   u    0       0         13              5      HE   -25    15      2
 45605C0F  20   6   u    0       0         14              0      HE   -23    15      6
 45505C0F  20   6   u    0       0         14              1      HE   -23    15      5
 4550640F  20   6   u    0       0         14              2      HE   -25    15      5
 4560640F  20   6   u    0       0         14              3      HE   -25    15      6
 45304C10  20   6   u    0       0         14              4      HE   -19    16      3
 4530640F  20   6   u    0       0         14              5      HE   -25    15      3
 45504C10  20   6   u    0       0         15              0      HE   -19    16      5
 4540640F  20   6   u    0       0         15              1      HE   -25    15      4
 45605010  20   6   u    0       0         15              2      HE   -20    16      6
 45505010  20   6   u    0       0         15              3      HE   -20    16      5
 4550540F  20   6   u    0       0         15              4      HE   -21    15      5
 4560540F  20   6   u    0       0         15              5      HE   -21    15      6
 45104C10  20   6   u    0       0         16              0      HE   -19    16      1
 45105010  20   6   u    0       0         16              1      HE   -20    16      1
 4510540F  20   6   u    0       0         16              2      HE   -21    15      1
 45105C0F  20   6   u    0       0         16              3      HE   -23    15      1
 45404C10  20   6   u    0       0         16              4      HE   -19    16      4
 4510640F  20   6   u    0       0         16              5      HE   -25    15      1
 45604C10  20   6   u    0       0         17              0      HE   -19    16      6
 45405C0F  20   6   u    0       0         17              1      HE   -23    15      4
 4520540F  20   6   u    0       0         17              2      HE   -21    15      2
 45205010  20   6   u    0       0         17              3      HE   -20    16      2
 4540540F  20   6   u    0       0         17              4      HE   -21    15      4
 45405010  20   6   u    0       0         17              5      HE   -20    16      4
 45504C0F  20   6   u    0       0         18              0      HE   -19    15      5
 45604C0F  20   6   u    0       0         18              1      HE   -19    15      6
 4520580F  20   6   u    0       0         18              2      HE   -22    15      2
 4520500F  20   6   u    0       0         18              3      HE   -20    15      2
 4540580F  20   6   u    0       0         18              4      HE   -22    15      4
 4540500F  20   6   u    0       0         18              5      HE   -20    15      4
 45104C0F  20   6   u    0       0         19              0      HE   -19    15      1
 4510500F  20   6   u    0       0         19              1      HE   -20    15      1
 4510580F  20   6   u    0       0         19              2      HE   -22    15      1
 4510600F  20   6   u    0       0         19              3      HE   -24    15      1
 45404C0F  20   6   u    0       0         19              4      HE   -19    15      4
 4510680F  20   6   u    0       0         19              5      HE   -26    15      1
 4560600F  20   6   u    0       0         20              0      HE   -24    15      6
 4540680F  20   6   u    0       0         20              1      HE   -26    15      4
 4550500F  20   6   u    0       0         20              2      HE   -20    15      5
 4560580F  20   6   u    0       0         20              3      HE   -22    15      6
 4540600F  20   6   u    0       0         20              4      HE   -24    15      4
 4560500F  20   6   u    0       0         20              5      HE   -20    15      6
 4550580F  20   6   u    0       0         21              0      HE   -22    15      5
 4550600F  20   6   u    0       0         21              1      HE   -24    15      5
 4560680F  20   6   u    0       0         21              2      HE   -26    15      6
 4550680F  20   6   u    0       0         21              3      HE   -26    15      5
 45304C0F  20   6   u    0       0         21              4      HE   -19    15      3
 4530680F  20   6   u    0       0         21              5      HE   -26    15      3
 45204C0F  20   6   u    0       0         22              0      HE   -19    15      2
 4530500F  20   6   u    0       0         22              1      HE   -20    15      3
 4530580F  20   6   u    0       0         22              2      HE   -22    15      3
 4530600F  20   6   u    0       0         22              3      HE   -24    15      3
 4520600F  20   6   u    0       0         22              4      HE   -24    15      2
 4520680F  20   6   u    0       0         22              5      HE   -26    15      2
 4E2288F6  20   6   u    0       0         23              0 CALIB_HE    -1    15      6
 4348280B  20   7   u    0       0          0              0      HB    10    11      4
 4348240B  20   7   u    0       0          0              1      HB     9    11      4
 4348300B  20   7   u    0       0          0              2      HB    12    11      4
 43482C0B  20   7   u    0       0          0              3      HB    11    11      4
 4328280B  20   7   u    0       0          0              4      HB    10    11      2
 4328240B  20   7   u    0       0          0              5      HB     9    11      2
 4328300B  20   7   u    0       0          0              6      HB    12    11      2
 43282C0B  20   7   u    0       0          0              7      HB    11    11      2
 4318280C  20   7   u    0       0          1              0      HB    10    12      1
 4318240C  20   7   u    0       0          1              1      HB     9    12      1
 4318300C  20   7   u    0       0          1              2      HB    12    12      1
 43182C0C  20   7   u    0       0          1              3      HB    11    12      1
 4338280C  20   7   u    0       0          1              4      HB    10    12      3
 4338240C  20   7   u    0       0          1              5      HB     9    12      3
 4338300C  20   7   u    0       0          1              6      HB    12    12      3
 43382C0C  20   7   u    0       0          1              7      HB    11    12      3
 4348280D  20   7   u    0       0          2              0      HB    10    13      4
 4348240D  20   7   u    0       0          2              1      HB     9    13      4
 4348300D  20   7   u    0       0          2              2      HB    12    13      4
 43482C0D  20   7   u    0       0          2              3      HB    11    13      4
 4328280D  20   7   u    0       0          2              4      HB    10    13      2
 4328240D  20   7   u    0       0          2              5      HB     9    13      2
 4328300D  20   7   u    0       0          2              6      HB    12    13      2
 43282C0D  20   7   u    0       0          2              7      HB    11    13      2
 4318280E  20   7   u    0       0          3              0      HB    10    14      1
 4318240E  20   7   u    0       0          3              1      HB     9    14      1
 4318300E  20   7   u    0       0          3              2      HB    12    14      1
 43182C0E  20   7   u    0       0          3              3      HB    11    14      1
 4338280E  20   7   u    0       0          3              4      HB    10    14      3
 4338240E  20   7   u    0       0          3              5      HB     9    14      3
 4338300E  20   7   u    0       0          3              6      HB    12    14      3
 43382C0E  20   7   u    0       0          3              7      HB    11    14      3
 4318100B  20   7   u    0       0          4              0      HB     4    11      1
 43180C0B  20   7   u    0       0          4              1      HB     3    11      1
 4318080B  20   7   u    0       0          4              2      HB     2    11      1
 4318040B  20   7   u    0       0          4              3      HB     1    11      1
 4338100B  20   7   u    0       0          4              4      HB     4    11      3
 43380C0B  20   7   u    0       0          4              5      HB     3    11      3
 4338080B  20   7   u    0       0          4              6      HB     2    11      3
 4338040B  20   7   u    0       0          4              7      HB     1    11      3
 4348100C  20   7   u    0       0          5              0      HB     4    12      4
 43480C0C  20   7   u    0       0          5              1      HB     3    12      4
 4348080C  20   7   u    0       0          5              2      HB     2    12      4
 4348040C  20   7   u    0       0          5              3      HB     1    12      4
 4328100C  20   7   u    0       0          5              4      HB     4    12      2
 43280C0C  20   7   u    0       0          5              5      HB     3    12      2
 4328080C  20   7   u    0       0          5              6      HB     2    12      2
 4328040C  20   7   u    0       0          5              7      HB     1    12      2
 4318100D  20   7   u    0       0          6              0      HB     4    13      1
 43180C0D  20   7   u    0       0          6              1      HB     3    13      1
 4318080D  20   7   u    0       0          6              2      HB     2    13      1
 4318040D  20   7   u    0       0          6              3      HB     1    13      1
 4338100D  20   7   u    0       0          6              4      HB     4    13      3
 43380C0D  20   7   u    0       0          6              5      HB     3    13      3
 4338080D  20   7   u    0       0          6              6      HB     2    13      3
 4338040D  20   7   u    0       0          6              7      HB     1    13      3
 4348100E  20   7   u    0       0          7              0      HB     4    14      4
 43480C0E  20   7   u    0       0          7              1      HB     3    14      4
 4348080E  20   7   u    0       0          7              2      HB     2    14      4
 4348040E  20   7   u    0       0          7              3      HB     1    14      4
 4328100E  20   7   u    0       0          7              4      HB     4    14      2
 43280C0E  20   7   u    0       0          7              5      HB     3    14      2
 4328080E  20   7   u    0       0          7              6      HB     2    14      2
 4328040E  20   7   u    0       0          7              7      HB     1    14      2
 4348080B  20   7   u    0       0          8              0      HB     2    11      4
 4348040B  20   7   u    0       0          8              1      HB     1    11      4
 4348100B  20   7   u    0       0          8              2      HB     4    11      4
 43480C0B  20   7   u    0       0          8              3      HB     3    11      4
 4328080B  20   7   u    0       0          8              4      HB     2    11      2
 4328040B  20   7   u    0       0          8              5      HB     1    11      2
 4328100B  20   7   u    0       0          8              6      HB     4    11      2
 43280C0B  20   7   u    0       0          8              7      HB     3    11      2
 4318080C  20   7   u    0       0          9              0      HB     2    12      1
 4318040C  20   7   u    0       0          9              1      HB     1    12      1
 4318100C  20   7   u    0       0          9              2      HB     4    12      1
 43180C0C  20   7   u    0       0          9              3      HB     3    12      1
 4338080C  20   7   u    0       0          9              4      HB     2    12      3
 4338040C  20   7   u    0       0          9              5      HB     1    12      3
 4338100C  20   7   u    0       0          9              6      HB     4    12      3
 43380C0C  20   7   u    0       0          9              7      HB     3    12      3
 4348080D  20   7   u    0       0         10              0      HB     2    13      4
 4348040D  20   7   u    0       0         10              1      HB     1    13      4
 4348100D  20   7   u    0       0         10              2      HB     4    13      4
 43480C0D  20   7   u    0       0         10              3      HB     3    13      4
 4328080D  20   7   u    0       0         10              4      HB     2    13      2
 4328040D  20   7   u    0       0         10              5      HB     1    13      2
 4328100D  20   7   u    0       0         10              6      HB     4    13      2
 43280C0D  20   7   u    0       0         10              7      HB     3    13      2
 4318080E  20   7   u    0       0         11              0      HB     2    14      1
 4318040E  20   7   u    0       0         11              1      HB     1    14      1
 4318100E  20   7   u    0       0         11              2      HB     4    14      1
 43180C0E  20   7   u    0       0         11              3      HB     3    14      1
 4338080E  20   7   u    0       0         11              4      HB     2    14      3
 4338040E  20   7   u    0       0         11              5      HB     1    14      3
 4338100E  20   7   u    0       0         11              6      HB     4    14      3
 43380C0E  20   7   u    0       0         11              7      HB     3    14      3
 4318200B  20   7   u    0       0         12              0      HB     8    11      1
 43181C0B  20   7   u    0       0         12              1      HB     7    11      1
 4318180B  20   7   u    0       0         12              2      HB     6    11      1
 4318140B  20   7   u    0       0         12              3      HB     5    11      1
 4338200B  20   7   u    0       0         12              4      HB     8    11      3
 43381C0B  20   7   u    0       0         12              5      HB     7    11      3
 4338180B  20   7   u    0       0         12              6      HB     6    11      3
 4338140B  20   7   u    0       0         12              7      HB     5    11      3
 4348200C  20   7   u    0       0         13              0      HB     8    12      4
 43481C0C  20   7   u    0       0         13              1      HB     7    12      4
 4348180C  20   7   u    0       0         13              2      HB     6    12      4
 4348140C  20   7   u    0       0         13              3      HB     5    12      4
 4328200C  20   7   u    0       0         13              4      HB     8    12      2
 43281C0C  20   7   u    0       0         13              5      HB     7    12      2
 4328180C  20   7   u    0       0         13              6      HB     6    12      2
 4328140C  20   7   u    0       0         13              7      HB     5    12      2
 4318200D  20   7   u    0       0         14              0      HB     8    13      1
 43181C0D  20   7   u    0       0         14              1      HB     7    13      1
 4318180D  20   7   u    0       0         14              2      HB     6    13      1
 4318140D  20   7   u    0       0         14              3      HB     5    13      1
 4338200D  20   7   u    0       0         14              4      HB     8    13      3
 43381C0D  20   7   u    0       0         14              5      HB     7    13      3
 4338180D  20   7   u    0       0         14              6      HB     6    13      3
 4338140D  20   7   u    0       0         14              7      HB     5    13      3
 4348200E  20   7   u    0       0         15              0      HB     8    14      4
 43481C0E  20   7   u    0       0         15              1      HB     7    14      4
 4348180E  20   7   u    0       0         15              2      HB     6    14      4
 4348140E  20   7   u    0       0         15              3      HB     5    14      4
 4328200E  20   7   u    0       0         15              4      HB     8    14      2
 43281C0E  20   7   u    0       0         15              5      HB     7    14      2
 4328180E  20   7   u    0       0         15              6      HB     6    14      2
 4328140E  20   7   u    0       0         15              7      HB     5    14      2
 4348180B  20   7   u    0       0         16              0      HB     6    11      4
 4348140B  20   7   u    0       0         16              1      HB     5    11      4
 4348200B  20   7   u    0       0         16              2      HB     8    11      4
 43481C0B  20   7   u    0       0         16              3      HB     7    11      4
 4328180B  20   7   u    0       0         16              4      HB     6    11      2
 4328140B  20   7   u    0       0         16              5      HB     5    11      2
 4328200B  20   7   u    0       0         16              6      HB     8    11      2
 43281C0B  20   7   u    0       0         16              7      HB     7    11      2
 4318180C  20   7   u    0       0         17              0      HB     6    12      1
 4318140C  20   7   u    0       0         17              1      HB     5    12      1
 4318200C  20   7   u    0       0         17              2      HB     8    12      1
 43181C0C  20   7   u    0       0         17              3      HB     7    12      1
 4338180C  20   7   u    0       0         17              4      HB     6    12      3
 4338140C  20   7   u    0       0         17              5      HB     5    12      3
 4338200C  20   7   u    0       0         17              6      HB     8    12      3
 43381C0C  20   7   u    0       0         17              7      HB     7    12      3
 4348180D  20   7   u    0       0         18              0      HB     6    13      4
 4348140D  20   7   u    0       0         18              1      HB     5    13      4
 4348200D  20   7   u    0       0         18              2      HB     8    13      4
 43481C0D  20   7   u    0       0         18              3      HB     7    13      4
 4328180D  20   7   u    0       0         18              4      HB     6    13      2
 4328140D  20   7   u    0       0         18              5      HB     5    13      2
 4328200D  20   7   u    0       0         18              6      HB     8    13      2
 43281C0D  20   7   u    0       0         18              7      HB     7    13      2
 4318180E  20   7   u    0       0         19              0      HB     6    14      1
 4318140E  20   7   u    0       0         19              1      HB     5    14      1
 4318200E  20   7   u    0       0         19              2      HB     8    14      1
 43181C0E  20   7   u    0       0         19              3      HB     7    14      1
 4338180E  20   7   u    0       0         19              4      HB     6    14      3
 4338140E  20   7   u    0       0         19              5      HB     5    14      3
 4338200E  20   7   u    0       0         19              6      HB     8    14      3
 43381C0E  20   7   u    0       0         19              7      HB     7    14      3
 4318300B  20   7   u    0       0         20              0      HB    12    11      1
 43182C0B  20   7   u    0       0         20              1      HB    11    11      1
 4318280B  20   7   u    0       0         20              2      HB    10    11      1
 4318240B  20   7   u    0       0         20              3      HB     9    11      1
 4338300B  20   7   u    0       0         20              4      HB    12    11      3
 43382C0B  20   7   u    0       0         20              5      HB    11    11      3
 4338280B  20   7   u    0       0         20              6      HB    10    11      3
 4338240B  20   7   u    0       0         20              7      HB     9    11      3
 4348300C  20   7   u    0       0         21              0      HB    12    12      4
 43482C0C  20   7   u    0       0         21              1      HB    11    12      4
 4348280C  20   7   u    0       0         21              2      HB    10    12      4
 4348240C  20   7   u    0       0         21              3      HB     9    12      4
 4328300C  20   7   u    0       0         21              4      HB    12    12      2
 43282C0C  20   7   u    0       0         21              5      HB    11    12      2
 4328280C  20   7   u    0       0         21              6      HB    10    12      2
 4328240C  20   7   u    0       0         21              7      HB     9    12      2
 4318300D  20   7   u    0       0         22              0      HB    12    13      1
 43182C0D  20   7   u    0       0         22              1      HB    11    13      1
 4318280D  20   7   u    0       0         22              2      HB    10    13      1
 4318240D  20   7   u    0       0         22              3      HB     9    13      1
 4338300D  20   7   u    0       0         22              4      HB    12    13      3
 43382C0D  20   7   u    0       0         22              5      HB    11    13      3
 4338280D  20   7   u    0       0         22              6      HB    10    13      3
 4338240D  20   7   u    0       0         22              7      HB     9    13      3
 4348300E  20   7   u    0       0         23              0      HB    12    14      4
 43482C0E  20   7   u    0       0         23              1      HB    11    14      4
 4348280E  20   7   u    0       0         23              2      HB    10    14      4
 4348240E  20   7   u    0       0         23              3      HB     9    14      4
 4328300E  20   7   u    0       0         23              4      HB    12    14      2
 43282C0E  20   7   u    0       0         23              5      HB    11    14      2
 4328280E  20   7   u    0       0         23              6      HB    10    14      2
 4328240E  20   7   u    0       0         23              7      HB     9    14      2
 4318400B  20   8   u    0       0          2              0      HB    16    11      1
 43183C0B  20   8   u    0       0          2              1      HB    15    11      1
 4318380B  20   8   u    0       0          2              2      HB    14    11      1
 4318340B  20   8   u    0       0          2              3      HB    13    11      1
 4338400B  20   8   u    0       0          2              4      HB    16    11      3
 43383C0B  20   8   u    0       0          2              5      HB    15    11      3
 4338380B  20   8   u    0       0          2              6      HB    14    11      3
 4338340B  20   8   u    0       0          2              7      HB    13    11      3
 4348380B  20   8   u    0       0          3              0      HB    14    11      4
 4348340B  20   8   u    0       0          3              1      HB    13    11      4
 4E2C180B  20   8   u    0       0          3              2     HBX    16    11   -999
 43483C0B  20   8   u    0       0          3              3      HB    15    11      4
 4328380B  20   8   u    0       0          3              4      HB    14    11      2
 4328340B  20   8   u    0       0          3              5      HB    13    11      2
 4328400B  20   8   u    0       0          3              6      HB    16    11      2
 43283C0B  20   8   u    0       0          3              7      HB    15    11      2
 4E2C180C  20   8   u    0       0          4              0     HBX    16    12   -999
 43483C0C  20   8   u    0       0          4              1      HB    15    12      4
 4348380C  20   8   u    0       0          4              2      HB    14    12      4
 4348340C  20   8   u    0       0          4              3      HB    13    12      4
 4328400C  20   8   u    0       0          4              4      HB    16    12      2
 43283C0C  20   8   u    0       0          4              5      HB    15    12      2
 4328380C  20   8   u    0       0          4              6      HB    14    12      2
 4328340C  20   8   u    0       0          4              7      HB    13    12      2
 4318380C  20   8   u    0       0          5              0      HB    14    12      1
 4318340C  20   8   u    0       0          5              1      HB    13    12      1
 4318400C  20   8   u    0       0          5              2      HB    16    12      1
 43183C0C  20   8   u    0       0          5              3      HB    15    12      1
 4338380C  20   8   u    0       0          5              4      HB    14    12      3
 4338340C  20   8   u    0       0          5              5      HB    13    12      3
 4338400C  20   8   u    0       0          5              6      HB    16    12      3
 43383C0C  20   8   u    0       0          5              7      HB    15    12      3
 4318400D  20   8   u    0       0          6              0      HB    16    13      1
 43183C0D  20   8   u    0       0          6              1      HB    15    13      1
 4318380D  20   8   u    0       0          6              2      HB    14    13      1
 4318340D  20   8   u    0       0          6              3      HB    13    13      1
 4338400D  20   8   u    0       0          6              4      HB    16    13      3
 43383C0D  20   8   u    0       0          6              5      HB    15    13      3
 4338380D  20   8   u    0       0          6              6      HB    14    13      3
 4338340D  20   8   u    0       0          6              7      HB    13    13      3
 4348380D  20   8   u    0       0          7              0      HB    14    13      4
 4348340D  20   8   u    0       0          7              1      HB    13    13      4
 4E2C180D  20   8   u    0       0          7              2     HBX    16    13   -999
 43483C0D  20   8   u    0       0          7              3      HB    15    13      4
 4328380D  20   8   u    0       0          7              4      HB    14    13      2
 4328340D  20   8   u    0       0          7              5      HB    13    13      2
 4328400D  20   8   u    0       0          7              6      HB    16    13      2
 43283C0D  20   8   u    0       0          7              7      HB    15    13      2
 4E2C180E  20   8   u    0       0          8              0     HBX    16    14   -999
 43483C0E  20   8   u    0       0          8              1      HB    15    14      4
 4348380E  20   8   u    0       0          8              2      HB    14    14      4
 4348340E  20   8   u    0       0          8              3      HB    13    14      4
 4328400E  20   8   u    0       0          8              4      HB    16    14      2
 43283C0E  20   8   u    0       0          8              5      HB    15    14      2
 4328380E  20   8   u    0       0          8              6      HB    14    14      2
 4328340E  20   8   u    0       0          8              7      HB    13    14      2
 4318380E  20   8   u    0       0          9              0      HB    14    14      1
 4318340E  20   8   u    0       0          9              1      HB    13    14      1
 4318400E  20   8   u    0       0          9              2      HB    16    14      1
 43183C0E  20   8   u    0       0          9              3      HB    15    14      1
 4338380E  20   8   u    0       0          9              4      HB    14    14      3
 4338340E  20   8   u    0       0          9              5      HB    13    14      3
 4338400E  20   8   u    0       0          9              6      HB    16    14      3
 43383C0E  20   8   u    0       0          9              7      HB    15    14      3
 4E2258B0  20   8   u    0       0         10              4 CALIB_HB     1    11      0
 4E2258B1  20   8   u    0       0         10              5 CALIB_HB     1    11      1
 4E2258B2  20   8   u    0       0         10              6 CALIB_HB     1    11      2
 4518740B  20   8   u    0       0         12              0      HE    29    11      1
 4518700B  20   8   u    0       0         12              1      HE    28    11      1
 4528480B  20   8   u    0       0         12              2      HE    18    11      2
 4528440B  20   8   u    0       0         12              3      HE    17    11      2
 4548400B  20   8   u    0       0         12              4      HE    16    11      4
 4528740B  20   8   u    0       0         12              5      HE    29    11      2
 4528700B  20   8   u    0       0         13              0      HE    28    11      2
 4558700B  20   8   u    0       0         13              1      HE    28    11      5
 4538700B  20   8   u    0       0         13              2      HE    28    11      3
 4578700B  20   8   u    0       0         13              3      HE    28    11      7
 4578680B  20   8   u    0       0         13              4      HE    26    11      7
 4568700B  20   8   u    0       0         13              5      HE    28    11      6
 4538480B  20   8   u    0       0         14              0      HE    18    11      3
 4548700B  20   8   u    0       0         14              1      HE    28    11      4
 4538440B  20   8   u    0       0         14              2      HE    17    11      3
 4558480B  20   8   u    0       0         14              3      HE    18    11      5
 4518480B  20   8   u    0       0         14              4      HE    18    11      1
 4548480B  20   8   u    0       0         14              5      HE    18    11      4
 4518480C  20   8   u    0       0         15              0      HE    18    12      1
 4548480C  20   8   u    0       0         15              1      HE    18    12      4
 4558480C  20   8   u    0       0         15              2      HE    18    12      5
 4538440C  20   8   u    0       0         15              3      HE    17    12      3
 45486C0B  20   8   u    0       0         15              4      HE    27    11      4
 4538480C  20   8   u    0       0         15              5      HE    18    12      3
 45786C0B  20   8   u    0       0         16              0      HE    27    11      7
 45386C0B  20   8   u    0       0         16              1      HE    27    11      3
 45586C0B  20   8   u    0       0         16              2      HE    27    11      5
 45686C0B  20   8   u    0       0         16              3      HE    27    11      6
 4538740B  20   8   u    0       0         16              4      HE    29    11      3
 4E2E1C8B  20   8   u    0       0         16              5     HEX    25    11   -999
 45186C0B  20   8   u    0       0         17              0      HE    27    11      1
 4E2E1D8B  20   8   u    0       0         17              1     HEX    27    11   -999
 4528480C  20   8   u    0       0         17              2      HE    18    12      2
 4528440C  20   8   u    0       0         17              3      HE    17    12      2
 4548400C  20   8   u    0       0         17              4      HE    16    12      4
 45286C0B  20   8   u    0       0         17              5      HE    27    11      2
 45186C0D  20   8   u    0       0         18              0      HE    27    13      1
 4E2E1C8D  20   8   u    0       0         18              1     HEX    25    13   -999
 4528480D  20   8   u    0       0         18              2      HE    18    13      2
 4528440D  20   8   u    0       0         18              3      HE    17    13      2
 4548400D  20   8   u    0       0         18              4      HE    16    13      4
 45286C0D  20   8   u    0       0         18              5      HE    27    13      2
 4E2E1D8D  20   8   u    0       0         19              0     HEX    27    13   -999
 45586C0D  20   8   u    0       0         19              1      HE    27    13      5
 45386C0D  20   8   u    0       0         19              2      HE    27    13      3
 45786C0D  20   8   u    0       0         19              3      HE    27    13      7
 4538740D  20   8   u    0       0         19              4      HE    29    13      3
 45686C0D  20   8   u    0       0         19              5      HE    27    13      6
 4538480D  20   8   u    0       0         20              0      HE    18    13      3
 45486C0D  20   8   u    0       0         20              1      HE    27    13      4
 4538440D  20   8   u    0       0         20              2      HE    17    13      3
 4558480D  20   8   u    0       0         20              3      HE    18    13      5
 4518480D  20   8   u    0       0         20              4      HE    18    13      1
 4548480D  20   8   u    0       0         20              5      HE    18    13      4
 4518480E  20   8   u    0       0         21              0      HE    18    14      1
 4548480E  20   8   u    0       0         21              1      HE    18    14      4
 4558480E  20   8   u    0       0         21              2      HE    18    14      5
 4538440E  20   8   u    0       0         21              3      HE    17    14      3
 4548700D  20   8   u    0       0         21              4      HE    28    13      4
 4538480E  20   8   u    0       0         21              5      HE    18    14      3
 4578700D  20   8   u    0       0         22              0      HE    28    13      7
